id,sha,repo,fileName,issueType,commitLink,commitMessage,days,devActivities
29,a18120a,antoniy/Gidder,src/net/antoniy/gidder/ui/activity/DonateActivity.java,HandlerLeak,https://github.com/antoniy/Gidder/commit/a18120a44c20756b34486b43f7afd62a04ee1af3#diff-af385f36956895efd8d61b86625c22ae,Fix a lot of small issues. Remove unused configuration from settings. Remove development data from DBHelper. Remove PayPal integration library and just use web for now.,93.12237269,"Code re-organization,Bug fixing,Storage management,API management"
30,c0ef6b8,mobiRic/StackFlairWidget,src/com/mobiric/stackflairwidget/activity/SettingsActivity.java,HandlerLeak,https://github.com/mobiRic/StackFlairWidget/commit/c0ef6b8dea91d7b30159cf823086d4357c532ef8#diff-e4c49d6ac2f33e433f149474379b8e62,Cleanup removed TODO... compiler warnings... unused NetWatcher class etc. Big change was creation of StaticSafeHandler as a new pattern to avoid memory leaks commonly encountered when using an inner-class Handler.,83.00693287,"Code re-organization,Bug fixing"
31,2.18E+05,zom/Zom-Android,awesomeAppCore/src/main/java/org/awesomeapp/messenger/service/RemoteImService.java,Recycle,https://github.com/zom/Zom-Android-XMPP/commit/21818e15a0542c2ef1278f1bb674aa3935b5548d#diff-8ad2eef83c3a722a66c90f23717facec,"remove global preferences from Imps.ProviderSettings
Imps.ProviderSettings is for account profiles, and is not the place for global settings. These global preferences are not sensitive, so they do not need to be stored encrypted. Instead, the global prefs are stored in a standard SharedPreferences file. A static utility class is used to make accessing the prefs from the code dead simple.
This also purges the unused ""background image"" and ""show grid"" preferences.and ""show grid"" preferences.",607.7076852,Code re-organization
32,a9df48c,dirktrossen/AIRS,src/com/airs/handlers/SystemHandler.java,Recycle,https://github.com/dirktrossen/AIRS/commit/a9df48c6c61de0b74d5d54949702802e86956039#diff-0de5488a123c9e515d21aae05addf27c,V2.7.2 - check in manual sync if background uploading is selected (can only either) - updated manifest for new Google Play Services (needs to be installed!) - improved SS sensor - ensure that only one file is uploaded to GDrive,490.9128819,"Bug fixing,API management,Sensing & communication,Storage management"
33,40063ae,utolosa002/BerziklApp,src/gipuzkoa/hondakinak/DatabaseHandler.java,Recycle,https://github.com/utolosa002/BerziklApp/commit/40063ae4ed0484d0e3fe9bb30c11c10e4d6b56d0#diff-00324ddd8343a0c0cd3825994199fadc,2.4,372.6154398,Project management
34,44af8cd,jajimenez/workpage,workpage/src/jajimenez/workpage/data/DataManager.java,Recycle,https://github.com/jajimenez/workpage/commit/44af8cd1f1ba6b8f5b54636bb5ed3b18834a9a00#diff-3ea3adecd678994af3352e1f0c049b49,Tag filtering improved.,357.16625,App enhancement
35,d4768830,zom/Zom-Android,src/info/guardianproject/otr/app/im/app/AddContactActivity.java,Recycle,https://github.com/zom/Zom-Android-XMPP/commit/d4768830f323bf7186dc165047fcc8047b0d44fd#diff-23403713561ee442787b7075bcd33025,multiple fixes for handling subscription request in UI,354.6734375,"Bug fixing,User experience improvement"
36,6a69d43d,zom/Zom-Android,src/info/guardianproject/otr/app/im/plugin/xmpp/XmppConnection.java,Recycle,https://github.com/zom/Zom-Android-XMPP/commit/6a69d43daac2ca0ecc9fcd4d505870d5a0b4d103,fixes #4448 makes sure cursor is closed,342.6025,Bug fixing
37,3bca9e2,dirktrossen/AIRS,src/com/airs/AIRS_sync.java,Recycle,https://github.com/dirktrossen/AIRS/commit/3bca9e2629a80d3ef1c6d97ed725f1ca2bf403dc#diff-1355ce6c7b63f93aa0dd7c5ac50901f7,V2.5.2 - bugfixes,267.3714468,Bug fixing
38,744636,zom/Zom-Android,src/info/guardianproject/otr/app/im/app/ChatView.java,Recycle,https://github.com/zom/Zom-Android-XMPP/commit/0744636990cd9ed656ca36ccc2fdadf453b8c733#diff-bba7e0f8ca5c96739bc1ad09468e0e83,clean up cursor handling in ChatView,247.5802546,Code re-organization
39,be502aa,uberspot/AnagramSolver,src/com/as/anagramsolver/DictionaryDBCreator.java,Recycle,https://github.com/uberspot/AnagramSolver/commit/be502aa192338c0722a15617fbb997dc8d3d50ac,close cursors after using them,220.0762963,Storage management
40,ec65540,shlusiak/Freebloks-Android,src/de/saschahlusiak/freebloks/game/FreebloksActivity.java,Recycle,https://github.com/shlusiak/Freebloks-Android/commit/ec65540830f83e7ed6612b2a4dd6d49ae3e7805f#diff-bd9ec759c8daba0d5731369629fe0c3e,fix lint warnings,209.9867014,Bug fixing
41,814e648,zom/Zom-Android,awesomeAppCore/src/main/java/org/awesomeapp/messenger/ImApp.java,UseSparseArrays,https://github.com/zom/Zom-Android-XMPP/commit/814e648dff504ae727bd8898b4f268757f94d530#diff-65184973a101bbfa044bea7f5ce8ee11,"purge ancient ""branding resources"" entirely",2047.073507,Code re-organization
42,8535d1a,dkovalkov/Sketcher-Tab,src/org/sketchertab/style/StylesFactory.java,UseSparseArrays,https://github.com/dkovalkov/Sketcher-Tab/commit/8535d1acebced69d21d3803bf4ef4bde84ec0b98#diff-10defaf14bed13dff071ecbef5de8469,Added redo action. Changed app name. Made enum from constants. New history system.,442.0304861,"App enhancement,Code re-organization"
43,99765a79,zom/Zom-Android,src/info/guardianproject/otr/app/im/app/ImApp.java,UseSparseArrays,https://github.com/zom/Zom-Android-XMPP/commit/99765a79a4181f67db502f5b9c9faa6536f1ed35#diff-51b7d18d11c13cad860e215cc1bfcbd7,MemTrustMgr needs to be accessible from activity and service for UI display popup to work... we must bind an active activity,406.3645949,"User experience improvement,Code re-organization"
44,865ceb0,vogtp/android-CPU-tuner,src/ch/amana/android/cputuner/view/adapter/PagerAdapter.java,UseSparseArrays,https://github.com/vogtp/android-CPU-tuner/commit/865ceb00f2b32b70b504dbd862c4e90728831fdb#diff-b530e0ca670ce4c738ba97d51b6ad4fb,get rid of bugg UI stuff,396.8432407,"Bug fixing,User experience improvement"
45,52b48d6,xperia64/timidity-ae,src/com/xperia64/timidityae/Globals.java,UseSparseArrays,https://github.com/xperia64/timidity-ae/commit/52b48d60bbff0b27a0e827c5f700b34a0b010b4a#diff-9cccc8ec73f4710585be005043ef4030,Update to version 2.5.5,316.9161921,Project management
46,87b89f9,Odoo-mobile/messaging,src/com/openerp/addons/messages/Message.java,UseSparseArrays,https://github.com/Odoo-mobile/messaging/commit/87b89f9fdbfd3a657947ce5404a3ea83e487d9d2#diff-3b2e9343d74405be9eeab3a9da086178,[IMP] Improved performance of Message module. Code improved. Starred... make (un)read improved,157.0053009,"Bug fixing,Code re-organization,App enhancement"
47,845d1af,tamsler/android-flash-cards,src/org/thomasamsler/android/flashcards/pager/CardsPager.java,UseSparseArrays,https://github.com/tamsler/android-flash-cards/commit/845d1af154cd7a88606b6821ac89631225e2a1bf#diff-f630a4bb4de4147b24c7d4bf85ffae99,Various BugFixes.,81.90347222,Bug fixing
48,c8dc1209,google/paco,Paco/src/com/google/android/apps/paco/DatabaseHelper.java,UseSparseArrays,https://github.com/google/paco/commit/c8dc1209d5a8387068a36a64d77d381574256ef9#diff-aaffa1a677e815dc5d59a9955f8abab4,Experiment storage migration from Android db 21 to 22 which stores experiments only as json with subtables.,68.02950231,Storage management
49,83f20e3f,zom/Zom-Android,src/info/guardianproject/otr/app/im/service/StatusBarNotifier.java,UseSparseArrays,https://github.com/zom/Zom-Android-XMPP/commit/83f20e3fdec09fda429551d030951c0a4c771af1,show indiv notifications for each sender,67.19795139,App enhancement
50,db3e892,i-p-tel/sipdroid,src/org/sipdroid/sipua/UserAgent.java,UseSparseArrays,https://github.com/i-p-tel/sipdroid/commit/db3e8927bb679e77be87146fe7b6819d634952be#diff-b7f16bd7611095b886f61a9338123bee,sipdroid: redo codec infrastructure to support arbitrary codecs Instead of having the GSM codec as special... this patch uses a plugin infrastructure to support the adding of arbitrary codecs to Siproid. It also changes the way users select codecs by adding a new 'Audio Codecs' preference screen and allowing them to select for each codec when it will be used (always... edge only or never) and also allowing them to change the order in which codecs are presented to the other end. This code also fixes a bug in the original implementation where on an incoming call... we could be presented with a codec we support that actually has a different media identifier number in the session descriptor. On incoming... it is the remote who chooses the media identifier numbers to use... so we have to do a string comparison to see if we support it and then globally use the remote's media identifier number. I also added the codec being used to the in call screen and a long delay call disconnect dialog if we find a codec mismatch on either incoming or outgoing. Signed-off-by: James Bottomley <James.Bottomley@HansenPartnership.com>,62.9430787,"App enhancement, Bug fixing"
51,7.20E+244,cody82/sigfood,sigfood-android/src/de/sigfood/HttpMultipartClient.java,UseValueOf,https://github.com/cody82/sigfood/commit/720e242675ea9f00dab7619b60f5ec58b9f351cf#diff-80828b1e144cb771bf5715fe5a3b3520,"Fixed a bug where switching back and forth between two days would desync date in header and the true menu date
* A bit of cleaning up in HttpMultipartClient",741.9722338,"Bug fixing,Code re-organization"
52,a6c40cc,hongsenliu/chinese-checkers,src/org/scoutant/cc/model/Pixel.java,UseValueOf,https://github.com/hongsenliu/chinese-checkers/commit/a6c40cca6f898e84fe76694bd34cfef14b43866b#diff-612d6032ff9de3f60dfb0f2a280c2f9c,introducing main layout above GameView.,473.9543519,App enhancement
53,6f9e9c6,nolanlawson/KeepScore,src/com/nolanlawson/keepscore/db/Game.java,UseValueOf,https://github.com/nolanlawson/KeepScore/commit/6f9e9c6d10abf2c4b8f6a31b07f0bd8ca1fd6170,dont use new Long() constructor,40758455,Bug fixing
54,76e2ca9,hongsenliu/chinese-checkers,src/org/scoutant/cc/GameView.java,UseValueOf,https://github.com/hongsenliu/chinese-checkers/commit/76e2ca9221358aa99ec6407015e5a99f216e2b10#diff-b62aa8b1f525a53cb72dd877c4645cc1,small cleaning,384.9919792,Code re-organization
55,3d3db42,byterom/android_external_whispersystems_TextSecure,src/org/thoughtcrime/securesms/database/SmsDatabase.java,UseValueOf,https://github.com/byterom/android_external_whispersystems_TextSecure/commit/3d3db421d3f327a2a30bb75d7144f1835b626444#diff-b7bb50f4f6280a0fb1e94ecc86d96e3d,Lint warning changes.,264.201412,Code re-organization
56,34b7308,bvalosek/cpuspy,src/com/bvalosek/cpuspy/CpuSpyApp.java,UseValueOf,https://github.com/bvalosek/cpuspy/commit/34b7308842d09935f2682ddcfe134bfdecb5ef80#diff-f24f1a1a5fe104ad2aba5340196ad635,Massive code rework and reformat,236.6169792,App enhancement
57,cfb8c32,dragthor/learning,app/src/main/java/com/kriskrause/learning/MainActivity.java,UseValueOf,https://github.com/dragthor/learning/commit/cfb8c328b293bfe6be986ca2b376640833557953#diff-a15f30c4b1d2175eccce84f8743cfd56,code clean up,234.9686921,Code re-organization
58,2825567,dragthor/learning,app/src/main/java/com/kriskrause/learning/MainActivity.java,UseValueOf,https://github.com/dragthor/learning/commit/282556708abc416a49743131f1f7428cd0338107#diff-a15f30c4b1d2175eccce84f8743cfd56,review items mgmt,215.968588,Code re-organization
59,ed93bb2,murat8505/foursquared,main/src/com/joelapenna/foursquared/NearbyVenuesActivity.java,UseValueOf,https://github.com/murat8505/foursquared/commit/ed93bb2fae7b86a1089d61309e194d6df2b1ebb8#diff-6a5e761eee185fe83395f92b4edb4665,Allowing UserDetailsActivity to accept a null user id... interpreted as logged-in user. Using a simple bitmap cache for photo strip. Changed friendlist adapter fetching of images to reduce number of threads created. The model of fetching images for these lists needs to be rethought in the next version though. Made sure intent sharing with 3rd party apps is working... will probably add to project tests.,203.6808565,"Sensing & Communication, API management, Testing & Debugging"
60,e1da96b,murat8505/foursquared,main/src/com/joelapenna/foursquared/FriendsActivity.java,UseValueOf,https://github.com/murat8505/foursquared/commit/e1da96bc71550fbaf0e67acb6e4f51a800f3733c#diff-0458cf1d7ba6241e0f5f8b41af792b9e,Added segmented button header to friends activity... cleaned it up removing code we're no longer using. Will continue cleaning after reformatting user details page.,196.0385301,"App enhancement, Code re-organization"
61,33ec079,xperia64/timidity-ae,src/com/xperia64/timidityae/SoundfontArrayAdapter.java,ViewHolder,https://github.com/xperia64/timidity-ae/commit/33ec079a155147e816f3cb158a8a73322340b512#diff-5a0483cc8495c079f06042e676e34223,2.5.6,437.1695486,Project management
62,3052768,chaosbastler/opentraining,app/src/de/skubware/opentraining/activity/create_exercise/ExerciseImageListAdapter.java,ViewHolder,https://github.com/chaosbastler/opentraining/commit/3052768e385443d4a0c9c9644966ad697eaa946d#diff-d64de4cad22be473aeae124fe23ada28,Implemented ViewHolder-Pattern for ExerciseImageListAdapter (used for CreateExerciseActivity).,323.6682639,Code re-organization
63,a535d74,pocmo/Yaaic,src/org/yaaic/adapter/ServerListAdapter.java,ViewHolder,https://github.com/pocmo/Yaaic/commit/a535d74a85271b230b1da48ea8638c8a46d8aca7#diff-af65819730c27f5dab402044c0d04ceb,"ServerListActivity: Show ""Add server"" item if no server in database yet",274.5178472,"User experience improvement,Storage management"
64,54ab082,RadAd/WebIntents,src/au/radsoft/webintents/ChoiceAdapter.java,ViewHolder,https://github.com/RadAd/WebIntents/commit/54ab0827ecbe3a815d335c4a210b56771fa93ba0#diff-8060ade9f9de3c4c58d694436ce431cd,code cleanup,190.9784144,Code re-organization
65,4512334,AmrutSai/sikuna,src/uk/org/rivernile/edinburghbustracker/android/MapSearchHelper.java,ViewHolder,https://github.com/AmrutSai/sikuna/commit/4512334257e2b815a62acc7c6b3a04201776ce51#diff-37fce5b8c5e0498bb5f6fe717f3b008e,The bus times fetching and Twitter feed fetching tasks have now been partially rewritten as AsyncTask tasks which should aid in code maintainability. The bus stop map can now accept stop codes in the calling Intent for zooming in to a particular stop. DisplayStopDataActivity now shows how long it has been since the last data refresh... which addresses a feature request and closes issue 16. FavouriteStopsActivity now shows a list of bus services for each saved stop and now lets users zoom to that stop on the map in the context menu. The preferences have been reordered for more logical ordering. Added a user preference where the user can elect to show the list of favourite bus stops on application start up rather than the menu. Modified a few of the custom list adapters to use convertView for faster layout drawing. NearestStopsActivity now uses some helpful hints found at http://android-developers.blogspot.com/2011/06/deep-dive-into-location.html,170.0408681,"Code re-organization,App enhancement,User experience improvement"
66,982686f,shlusiak/Freebloks-Android,src/de/saschahlusiak/freebloks/lobby/ColorAdapter.java,ViewHolder,https://github.com/shlusiak/Freebloks-Android/commit/982686fdce83a6ad1ba0ae341f1d8780ed86079f#diff-acd0c1caa097172ccfd47a1e0e037739,lobby: recycle color adapter items,115.5646991,Code re-organization
67,9312039,LukeStonehm/LogicalDefence,app/src/main/java/za/co/lukestonehm/logicaldefence/FallacyListAdapter.java,ViewHolder,https://github.com/LukeStonehm/LogicalDefence/commit/9312039bfc5662edb2b6cd2a79cc37175537202e,"FIXED: #re-use view if already exists, this will increase performance a little",63.05390046,Bug fixing
68,4512334,AmrutSai/sikuna,src/uk/org/rivernile/edinburghbustracker/android/NearestStopsActivity.java,ViewHolder,https://github.com/AmrutSai/sikuna/commit/4512334257e2b815a62acc7c6b3a04201776ce51#diff-f2a080c348148e60ae9cf8971d0746fb,The bus times fetching and Twitter feed fetching tasks have now been partially rewritten as AsyncTask tasks which should aid in code maintainability. The bus stop map can now accept stop codes in the calling Intent for zooming in to a particular stop. DisplayStopDataActivity now shows how long it has been since the last data refresh... which addresses a feature request and closes issue 16. FavouriteStopsActivity now shows a list of bus services for each saved stop and now lets users zoom to that stop on the map in the context menu. The preferences have been reordered for more logical ordering. Added a user preference where the user can elect to show the list of favourite bus stops on application start up rather than the menu. Modified a few of the custom list adapters to use convertView for faster layout drawing. NearestStopsActivity now uses some helpful hints found at http://android-developers.blogspot.com/2011/06/deep-dive-into-location.html,58.2371412,"Code re-organization,App enhancement,User experience improvement"
69,a0dc5b0,axlecho/memo,src/com/axlecho/memo/MainActivity.java,ViewHolder,https://github.com/axlecho/memo/commit/a0dc5b0648ceb1a861ed0b5c6afc30a1b1efb369#diff-c5fe3ea06d6bf2495d2c52e5b6a1b8f2,Organized the architecture,29.48438657,Code re-organization
70,fff8901,alopatindev/smsnenado,src/com/sbar/smsnenado/SmsItemAdapter.java,ViewHolder,https://github.com/alopatindev/smsnenado/commit/fff8901d252d81c883483fa2df678cb658579076#diff-42d6609aa70bb8c018df63f2554686c6,ListView duplicates workaround,18.40484954,Code re-organization
