id,sha,repo,fileName,issueType,commitLink,commitMessage,days,devActivities
45,7209a7e,chaosbastler/opentraining,src/de/skubware/opentraining/EditWorkoutActivity.java,UseSparseArrays,https://github.com/chaosbastler/opentraining/commit/7209a7e284d9fc42d21d58cbc09e2cb9f0641ab5#diff-101969b72ff2e28c18c1baaec88af2b8,Fixed some minor issues shown by Lint. E.g. hardcodes strings... imports... ...,0.1390625,Bug fixing
46,65c828e,mi9rom/achartengine,achartengine/src/org/achartengine/GraphicalActivity.java,UseSparseArrays,https://github.com/mi9rom/achartengine/commit/65c828e3a55b17071c5b7fd4b7fad73f98da07a6#diff-dc6480e63d7ca4e5dfc4ddefa50a30bc,Reverted to changeset #15. git-svn-id: http://achartengine.googlecode.com/svn/trunk@20 0b5bfab6-fc16-11dd-ac65-f74f249cfaac,0.20755787,Project management
47,74672865,google/paco,Paco/src/com/google/android/apps/paco/DatabaseHelper.java,UseSparseArrays,https://github.com/google/paco/commit/7467286542ea243e841a80e1ec43e42312130d29#diff-aaffa1a677e815dc5d59a9955f8abab4,issue146/167: Changed joinDate and modifyDate to strings. Also made Database file handling safer... and removed some unneccessary code/print statements.,0.310706019,"Storage management, Code re-organization"
48,66eec8d2,vogtp/android-CPU-tuner,src/ch/amana/android/cputuner/view/fragments/StatsAdvancedFragment.java,UseSparseArrays,https://github.com/vogtp/android-CPU-tuner/commit/66eec8d2d8b0ef000e0dac43fa9e6032714bda8b#diff-207cd80b0ec567c792b99fec16e760ca,ask the user before resetting the statistics,0.483043981,User experience improvement
49,7efc5f8,dmide/DubnaBus,src/ru/ratadubna/dubnabus/Bus.java,UseSparseArrays,https://github.com/dmide/DubnaBus/commit/7efc5f803190d4b4f9361d000cba6f2695f0994d#diff-19db97e471c6b59de60c442c73e80ab3,Schedules of Dubna-Moscow trains and buses added to the menu... corresponding activity and fragment implemented; minor fixes.,0.971608796,"App enhancement, Bug fixing"
50,7f08843,dragthor/learning,src/com/kriskrause/learning/EnglishData.java,UseSparseArrays,https://github.com/dragthor/learning/commit/7f0884393cb5583b32bdbc95ee385261d4c29b20#diff-f89e75db52727d93b56d2dd295595e8a,language plugability,0.983344907,App enhancement
51,1ebea8f,pocmo/Yaaic,application/src/org/yaaic/view/MessageListView.java,UseValueOf,https://github.com/pocmo/Yaaic/commit/1ebea8f7d630ba754c9624b154eabac56aad38fe#diff-ddd50711f523dea48a0af253a1e5f3e8,Use integer division to calculate gallert item width.,0.0015625,User experience improvement
52,036a795,JMS-1/BitMe,app/src/main/java/net/psimarron/bitme/TheRiddle.java,UseValueOf,https://github.com/JMS-1/BitMe/commit/036a795a0e1d6e9ac1375ca0f1c8c548cb3c12b7#diff-0b1c03af5892c96ad5828b74bf8f4114,"Minor tweaks in ""game engine""... playing a bit with UI",0.090127315,"Code re-organization, User experience improvement"
53,e83ced5,d355/sms-trial,PHS_SMS/src/dtd/phs/sms/senders/GoogleSender.java,UseValueOf,https://github.com/d355/sms-trial/commit/e83ced59bce93dcd1474bdb9a6cf0985347e9db6#diff-cd9209dabd998d5671517fa4d514a6e8,Commit leaving,0.13337963,Project management
54,084dd84e,aikuma/aikuma,BOLDApp/src/au/edu/melbuni/boldapp/UserItemAdapter.java,UseValueOf,https://github.com/aikuma/aikuma/commit/084dd84e30ebaddefb36348100a1ea7c4b8cde88#diff-c111bafd85bea286e4346937cd4d8751,-=+ camera problems gone!,0.351944444,Sensing & communication
55,a97ab64,murat8505/foursquared,main/src/com/joelapenna/foursquared/VenueActivity.java,UseValueOf,https://github.com/murat8505/foursquared/commit/a97ab646c87dbda699a8f210d7ce588062747cf9#diff-80d58ec86a954b8275becb71905b2adc,Reverted venue activity to using a flat listview now that list item selector is working. Android is still forcing the selector to go transparent when an item is selected and the user hits the menu key... it is quite strange.,0.897256944,"Code re-organization, User experience improvement"
56,ff0d3b0,d355/sms-trial,PHS_SMS/src/dtd/phs/sms/senders/GoogleSender.java,UseValueOf,https://github.com/d355/sms-trial/commit/ff0d3b03929bc30c6a8cc67f4ecca6a321fb7671#diff-ef0ed6d9c682dcf299ed2a9a3d80a99a,DONE: it worked.- TODO: start/stop service according to network connectivity.,0.98912037,Code re-organization
57,49041d3,adq/redbus,src/org/redbus/StopMapActivity.java,UseValueOf,https://github.com/adq/redbus/commit/49041d3c61814a4376ac9d0d597fc36fa1c9cc01#diff-12b979ed7144d32e937c521c99e08687,Rework stop filter GUI,1.105497685,User experience improvement
58,e8cacc4,javiersantos/Moticons,app/src/main/java/com/javiersantos/moticons/adapters/MoticonAdapter.java,UseValueOf,https://github.com/javiersantos/Moticons/commit/e8cacc4bd07851ef8ee9a52c8091252e9e3a88a1#diff-aab8a28b18950426a44f0ffd8e4e6a39,Release 1.0.2,2.45568287,Project management
59,3b6146b,hongsenliu/chinese-checkers,src/org/scoutant/cc/GameView.java,UseValueOf,https://github.com/hongsenliu/chinese-checkers/commit/3b6146bed02aac641d777f44ee77cfb7df003f92#diff-b62aa8b1f525a53cb72dd877c4645cc1,Select ball that IS nearest againt true distance.,2.756539352,User experience improvement
60,4e0fac05,google/paco,Paco/src/com/google/android/apps/paco/UserPreferences.java,UseValueOf,https://github.com/google/paco/commit/4e0fac05fb46e2a75901c500dde4bc0e71abc4c0#diff-9f28650d83cb26db5a4cf1d1365243d2,faster (issue185): Changed getter and setter methods for UserPreferences list refresh times so that callers need not pass any parameters in.,2.767164352,Code re-organization
61,244e397c,makings/mst,src/org/qii/weiciyuan/ui/TimeLineFriendsFragment.java,ViewHolder,https://github.com/makings/mst/commit/244e397c227c84c7f6689ac6140dcf2a170ab96d#diff-ed6f1a2a057e802d1397713334ef2cee,http,0.005162037,Sensing & communication
62,f4ee0c8,SwapnilShahGit/foody,app/src/main/java/com/example/swapnil/squareonemenu/MainActivity.java,ViewHolder,https://github.com/SwapnilShahGit/GTAFoody/commit/f4ee0c8d03aa9403f80127bb0a167aa38f5eb2d0#diff-7e384aa0e64c548af6c6a1eb2f6367b7,trying to fix,0.021666667,Bug fixing
63,a81f522,HexTree/red-sea-tools,android/orientation_app/app/src/main/java/kaust/orientationapp/WebLink.java,ViewHolder,https://github.com/HexTree/red-sea-tools/commit/a81f522a7d7eb2a9c8f7c9a177c0178ec8163e17#diff-3fe935a747da0de7948ce6b4a140626b,fixes,0.042777778,Bug fixing
64,241865,dpadgett/Timer,Timer/src/org/dpadgett/timer/StopwatchFragment.java,ViewHolder,https://github.com/dpadgett/Timer/commit/0241865d2bedc136e1b129fb93ac34be9ecca8b8#diff-6b3240f6f426d1260818d47389594693,add workaround to scrolling issue. scroll to bottom now works... although a bit bouncy.,0.050949074,"App enhancement, User experience improvement"
65,fd29f06,PeterChu2/Trendy,Trendy/src/main/java/com/example/uofthacks/trendy/InstagramListArrayAdapter.java,ViewHolder,https://github.com/PeterChu2/Trendy/commit/fd29f06e6de1c50eeaf15c60642548b2e6e0ceb6#diff-afb4a820adc50ebd9f0fd1458e78a41c,refactor code,0.072858796,Code re-organization
66,609edd41,makings/mst,src/org/qii/weiciyuan/ui/MentionsTimeLineActivity.java,ViewHolder,https://github.com/makings/mst/commit/609edd41a3d8c4e5ed223f578e4bac0bf9504a24#diff-6a05f464ee0d39141a39c68dd09c19de,homeline,0.103680556,Code re-organization
67,2537a7c,Kernald/buildbot-watcher,src/com/buildbotwatcher/BuilderActivity.java,ViewHolder,https://github.com/Kernald/buildbot-watcher/commit/2537a7c5ffb1f848478b6a0fd1c1ade46fb68b25#diff-77611685f55f63a906de1f4ce9a7f378,Network usage optimisation,0.182986111,Sensing & communication
68,00b596e,HexTree/red-sea-tools,android/orientation_app/app/src/main/java/kaust/orientationapp/CustomAdapter.java,ViewHolder,https://github.com/HexTree/red-sea-tools/commit/00b596e92dcf273f885528f50c802805f756a8a2#diff-02225fedc968d7d0086d08341834063e,main menu minor changes,0.317453704,User experience improvement
69,80d79274,makings/mst,src/org/qii/weiciyuan/LoginActivity.java,ViewHolder,https://github.com/makings/mst/commit/80d792747d69c15fc0aa096e231db9dd7d450a1c#diff-161db37305572987f90b6b0634a7aa50,account,0.0053125,Code re-organization
70,3ba23df,DWoodhouse22/StreetCrimes,src/com/dwoodhouse/sleuth/MenuListAdapter.java,ViewHolder,https://github.com/DWoodhouse22/StreetCrimes/commit/3ba23dff6fee69776f8e0a5ab6579c89531218e3#diff-6ee513c08bb0b83cdefb11baf21e8b90,Range Bar Seek Bar added to allow the user to choose a range value for crimes. Don?ÇÖt work yet!,1.064791667,App enhancement
